Sample	Station	Depth	Layer	Layer2	Fraction	Approach	temp	cond	salinity	O2	Ocean	Sub_ocean	Long_prov	lat	long
MP0311	19	3	Photic	Surface	Pico	mTags	27.109	5.7353	36.478	4.3259	AO	SAO	SATL	-7.283	-29.322
MP0313	19	4000	Aphotic	Bathypelagic	Pico	mTags	1.9557	3.2235	34.852	5.3994	AO	SAO	SATL	-7.283	-29.322
MP0315	19	1600	Aphotic	Bathypelagic	Pico	mTags	4.1465	3.3354	34.962	5.045	AO	SAO	SATL	-7.283	-29.322
MP0317	19	800	Aphotic	Mesopelagic	Pico	mTags	4.6845	3.3063	34.459	3.4388	AO	SAO	SATL	-7.283	-29.322
MP0319	19	400	Aphotic	Mesopelagic	Pico	mTags	8.636	3.6773	34.775	1.6056	AO	SAO	SATL	-7.283	-29.322
MP0321	19	76	Photic	DSL	Pico	mTags	26.603	5.6991	36.593	4.4027	AO	SAO	SATL	-7.283	-29.322
MP0323	19	120	Photic	DCM	Pico	mTags	21.734	5.1628	36.497	3.8775	AO	SAO	SATL	-7.283	-29.322
MP0778	44	3	Photic	Surface	Pico	mTags	20.661	4.9278	35.555	4.8508	AO	SAO	BENG	-33.233	15.34
MP0784	44	1200	Aphotic	Bathypelagic	Pico	mTags	3.0186	3.1874	34.592	3.7599	AO	SAO	BENG	-33.233	15.34
MP0786	44	725	Aphotic	Mesopelagic	Pico	mTags	4.5261	3.2814	34.37	4.3748	AO	SAO	BENG	-33.233	15.34
MP0788	44	350	Aphotic	Mesopelagic	Pico	mTags	9.4114	3.7422	34.721	4.5013	AO	SAO	BENG	-33.233	15.34
MP0790	44	56	Photic	DCM	Pico	mTags	18.303	4.6853	35.532	4.9003	AO	SAO	BENG	-33.233	15.34
MP0878	49	4000	Aphotic	Bathypelagic	Pico	mTags	1.11	3.14	34.74	4.67	IO	IO	ISSG	-33.907	37.042
MP0880	49	3000	Aphotic	Bathypelagic	Pico	mTags	2.27	3.21	34.81	NA	IO	IO	ISSG	-33.907	37.042
MP0882	49	1200	Aphotic	Bathypelagic	Pico	mTags	5.31	3.38	34.43	4.18	IO	IO	ISSG	-33.907	37.042
MP0884	49	800	Aphotic	Mesopelagic	Pico	mTags	10.08	3.83	34.82	4.65	IO	IO	ISSG	-33.907	37.042
MP0886	49	450	Aphotic	Mesopelagic	Pico	mTags	13.54	4.2	35.29	4.56	IO	IO	ISSG	-33.907	37.042
MP0888	49	86	Photic	DCM	Pico	mTags	19.23	4.79	35.57	4.64	IO	IO	ISSG	-33.907	37.042
MP1153	63	2600	Aphotic	Bathypelagic	Nano	mTags	1.79	3.15	34.73	3.83	IO	IO	ISSG	-29.574	96.407
MP1154	63	2600	Aphotic	Bathypelagic	Pico	mTags	1.79	3.15	34.73	3.83	IO	IO	ISSG	-29.574	96.407
MP1161	63	1790	Aphotic	Bathypelagic	Nano	mTags	2.69	3.19	34.68	3.31	IO	IO	ISSG	-29.574	96.407
MP1162	63	1790	Aphotic	Bathypelagic	Pico	mTags	2.69	3.19	34.68	3.31	IO	IO	ISSG	-29.574	96.407
