Group	Supergroup	D1156_ampliconV4	D1156_ampliconV9	D1158_ampliconV4	D1158_ampliconV9	D1160_ampliconV4	D1160_ampliconV9	D1168_ampliconV4	D1168_ampliconV9	D1170_ampliconV4	D1170_ampliconV9	D1172_ampliconV4	D1172_ampliconV9	D1180_ampliconV4	D1180_ampliconV9	D1660_ampliconV4	D1660_ampliconV9	D1662_ampliconV4	D1662_ampliconV9	D1668_ampliconV4	D1668_ampliconV9	D1672_ampliconV4	D1672_ampliconV9	D1684_ampliconV4	D1684_ampliconV9	D2219_ampliconV4	D2219_ampliconV9	D2221_ampliconV4	D2221_ampliconV9	D2225_ampliconV4	D2225_ampliconV9	D2227_ampliconV4	D2227_ampliconV9	D2229_ampliconV4	D2229_ampliconV9	D864_ampliconV4	D864_ampliconV9	D866_ampliconV4	D866_ampliconV9	D868_ampliconV4	D868_ampliconV9	D870_ampliconV4	D870_ampliconV9	D872_ampliconV4	D872_ampliconV9	D874_ampliconV4	D874_ampliconV9	MP0878_mTags	MP0880_mTags	MP0882_mTags	MP0884_mTags	MP0886_mTags	MP0888_mTags	MP1154_mTags	MP1162_mTags	MP1164_mTags	MP1166_mTags	MP1174_mTags	MP1176_mTags	MP1178_mTags	MP1672_mTags	MP1674_mTags	MP1676_mTags	MP1682_mTags	MP1684_mTags	MP2233bis_mTags	MP2235_mTags	MP2239_mTags	MP2241_mTags	MP2243_mTags
Acantharia	Rhizaria	930	555	1353	769	2442	500	7053	1560	358	67	1825	207	24853	3377	636	332	1892	278	3953	650	441	63	1479	259	4419	101	3191	155	26518	5713	766	142	782	212	199	104	131	117	1722	446	2743	916	3753	2082	407	134	10	8	23	166	109	6	7	40	35	76	23	2	186	6	16	21	50	24	12	18	258	19	7
Ancyromonadida	Eukaryota	241	384	264	286	0	38	38	36	156	56	0	0	216	66	0	0	0	0	0	0	0	0	63	32	0	0	0	0	0	0	0	0	0	0	14	26	0	9	0	9	0	0	0	0	0	0	2	0	5	1	2	0	8	5	8	0	0	0	3	0	13	1	0	4	0	1	0	0	0
Apicomplexa	Alveolata	0	25	0	0	0	0	0	5	0	0	13	3	0	0	0	0	0	0	0	4	0	9	0	3	0	5	0	0	0	17	0	18	0	17	0	285	0	177	0	56	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apusomonadida	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Ascomycota	Obazoa	11	992	126	1798	8	62	0	41	48	126	0	0	139	132	12	913	58	228	67	50	16	186	0	69	0	2490	0	778	0	109	0	23	0	76	0	716	0	95	6	306	0	23	0	71	0	27	59	57	15	10	8	0	60	13	21	4	0	0	5	0	69	255	3	0	49	1	0	3	0
BasalFungi	Obazoa	0	0	0	0	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	24	0	61	0	0	0	0	0	0	0	0	0	0	0	126	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basidiomycota	Obazoa	103	650	44	529	0	258	7	36	0	57	0	13	41	72	18	20	8	12	0	9	0	2	33	96	791	439	195	30	0	0	0	12	0	26	0	0	0	19	31	27	0	3	0	5	0	4	163	61	22	47	19	0	33	5	11	8	0	0	4	0	16	41	3	3	0	0	0	0	0
Bicosoecida	Stramenopiles	16735	6165	11712	2514	3694	884	3370	223	1052	98	1424	86	1087	46	74	5	1549	202	632	107	196	19	22	0	76	5	2746	38	0	0	0	8	17	11	708	318	1093	101	802	157	74	12	156	59	47	30	25	1	3	1	0	0	455	128	16	43	4	3	8	0	17	3	0	0	1	0	0	0	2
Bolidomonas	Stramenopiles	0	0	47	0	0	0	0	0	157	23	0	5	28	0	0	0	0	0	59	0	0	20	0	0	0	0	0	0	14	0	0	0	0	8	12	0	0	0	0	0	6	0	0	0	84	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Centrohelida	Haptista	0	0	16	6	0	0	66	0	767	80	58	0	13	3	0	0	0	0	0	0	140	10	46	7	18	0	0	0	0	6	0	0	201	75	50	0	0	0	0	6	0	0	0	18	56	8	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	2
Cercozoa	Rhizaria	132	20	81	22	36	0	47	2	0	15	0	9	84	0	18	0	16	0	21	0	0	2	0	12	154	0	9	0	11	0	0	0	0	0	21	47	17	54	116	97	22	21	19	39	0	18	104	10	2	6	25	0	24	9	7	3	0	0	2	0	1	2	4	1	9	3	2	2	0
Chlorarachniophyta	Rhizaria	0	0	0	0	0	0	0	0	69	28	36	0	19	2	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	33	37	0	0	0	0	0	0	0	0	0	2	12	24	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	4
Chlorodendrophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloropicophyceae	Archaeplastida	73	41	57	18	0	0	47	0	782	201	4089	1020	0	0	71	30	139	20	14	15	11183	8518	12394	5073	2880	355	787	0	32	0	4791	1500	826	313	109	98	0	8	23	0	44	11	112	67	4849	2378	0	0	0	2	0	1	1	0	0	0	11	0	0	38	0	2	1	46	5	0	1	19	0
Choanomonada	Obazoa	0	156	0	16	101	0	0	0	422	175	77	41	37	11	3	0	0	8	0	0	0	19	69	37	44	0	0	0	0	3	0	0	44	100	21	0	0	0	0	0	0	0	13	6	127	132	4	0	0	2	1	4	0	0	2	0	1	5	1	2	0	0	1	3	0	0	0	1	3
Chrysomerophyceae	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysophyceae	Stramenopiles	12505	22200	7419	6021	5053	4175	3532	1062	3162	707	458	265	4079	665	541	484	2714	1158	110	66	34	56	15	29	1044	120	1020	0	26	56	67	19	284	188	64773	25673	21807	7468	31757	9746	1581	650	4880	2776	1375	1082	3537	2441	1492	51	291	20	1220	420	133	107	12	19	19	3	31	33	1	1	52	42	3	3	4
Ciliophora	Alveolata	60	171	60	245	0	38	55	70	493	110	429	199	296	143	0	15	26	14	18	29	0	26	54	82	179	98	89	0	26	186	506	166	67	160	53	257	0	93	166	443	30	74	78	145	643	476	11	3	7	1	8	10	3	5	7	5	16	3	4	1	1	1	9	5	8	9	9	9	2
