Group	Supergroup	MP0311_HMM	MP0311_noHMM	MP0313_HMM	MP0313_noHMM	MP0315_HMM	MP0315_noHMM	MP0317_HMM	MP0317_noHMM	MP0319_HMM	MP0319_noHMM	MP0321_HMM	MP0321_noHMM	MP0323_HMM	MP0323_noHMM	MP0778_HMM	MP0778_noHMM	MP0784_HMM	MP0784_noHMM	MP0786_HMM	MP0786_noHMM	MP0788_HMM	MP0788_noHMM	MP0790_HMM	MP0790_noHMM	MP0878_HMM	MP0878_noHMM	MP0880_HMM	MP0880_noHMM	MP0882_HMM	MP0882_noHMM	MP0884_HMM	MP0884_noHMM	MP0886_HMM	MP0886_noHMM	MP0888_HMM	MP0888_noHMM	MP1154_HMM	MP1154_noHMM	MP1162_HMM	MP1162_noHMM	MP1164_HMM	MP1164_noHMM	MP1166_HMM	MP1166_noHMM	MP1174_HMM	MP1174_noHMM	MP1176_HMM	MP1176_noHMM	MP1178_HMM	MP1178_noHMM	MP1409_HMM	MP1409_noHMM	MP1411_HMM	MP1411_noHMM	MP1413_HMM	MP1413_noHMM	MP1415_HMM	MP1415_noHMM	MP1417_HMM	MP1417_noHMM	MP1419_HMM	MP1419_noHMM	MP1421_HMM	MP1421_noHMM	MP1517_HMM	MP1517_noHMM	MP1519_HMM	MP1519_noHMM	MP1521_HMM	MP1521_noHMM	MP1523_HMM	MP1523_noHMM	MP1525_HMM	MP1525_noHMM	MP1527_HMM	MP1527_noHMM	MP1529_HMM	MP1529_noHMM	MP1671_HMM	MP1671_noHMM	MP1672_HMM	MP1672_noHMM	MP1673-1675m_HMM	MP1673-1675m_noHMM	MP1674_HMM	MP1674_noHMM	MP1676_HMM	MP1676_noHMM	MP1677_HMM	MP1677_noHMM	MP1678_HMM	MP1678_noHMM	MP1679_HMM	MP1679_noHMM	MP1680_HMM	MP1680_noHMM	MP1681_HMM	MP1681_noHMM	MP1682_HMM	MP1682_noHMM	MP1683_HMM	MP1683_noHMM	MP1684_HMM	MP1684_noHMM	MP1845_HMM	MP1845_noHMM	MP1847_HMM	MP1847_noHMM	MP1849_HMM	MP1849_noHMM	MP1851_HMM	MP1851_noHMM	MP1853_HMM	MP1853_noHMM	MP1855_HMM	MP1855_noHMM	MP1857_HMM	MP1857_noHMM	MP2231_HMM	MP2231_noHMM	MP2233bis_HMM	MP2233bis_noHMM	MP2235_HMM	MP2235_noHMM	MP2239_HMM	MP2239_noHMM	MP2241_HMM	MP2241_noHMM	MP2243_HMM	MP2243_noHMM	MP2809_HMM	MP2809_noHMM	MP2811_HMM	MP2811_noHMM	MP2813_HMM	MP2813_noHMM	MP2815_HMM	MP2815_noHMM	MP2817_HMM	MP2817_noHMM	MP2819_HMM	MP2819_noHMM	MP2821_HMM	MP2821_noHMM
Acantharia	Rhizaria	2	2	7	6	37	35	65	67	70	71	4	4	19	18	1	1	395	358	355	338	194	176	2	2	9	10	8	8	23	23	164	166	105	109	6	6	7	7	43	40	38	35	78	76	21	23	3	2	184	186	96	87	239	218	355	339	199	186	6	6	144	145	1	1	2	2	4	4	9	9	15	16	158	163	26	26	48	47	58	61	6	6	46	48	20	16	19	21	122	123	61	59	214	213	128	131	231	227	52	50	67	70	24	24	0	0	13	15	63	61	73	73	55	59	15	14	5	4	8	8	12	12	18	18	246	258	19	19	7	7	207	219	17	17	14	14	24	26	56	57	8	8	2	2
Ancyromonadida	Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	5	0	1	1	2	0	0	9	8	4	5	9	8	0	0	0	0	0	0	3	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6	6	11	13	1	1	1	2	0	0	2	2	2	2	0	0	0	0	2	2	4	4	1	1	8	8	3	3	1	1	21	23	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	1	0	0
Apicomplexa	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	36	47	0	0	2	2	0	0	0	0	8	8	0	0	2	2	0	0	1	1	0	0	12	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apusomonadida	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	6	14	14	0	0	0	0	27	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	2	3
Ascomycota	Obazoa	0	0	10	11	3	3	4	4	2	2	0	0	0	0	1	1	16	16	5	4	2	2	1	1	62	59	53	57	15	15	10	10	10	8	0	0	59	60	13	13	20	21	4	4	0	0	0	0	5	5	6	6	13	13	0	0	0	0	0	0	1	2	0	0	1	2	91	97	31	32	13	14	15	17	55	55	0	1	145	153	0	0	261	265	70	69	239	255	65	67	2	2	44	47	2	2	107	107	3	3	10	10	0	0	38	39	48	49	3	3	6	9	0	0	1	1	0	0	10	11	49	49	1	1	0	0	2	3	0	0	94	95	169	173	58	59	18	20	49	49	0	0	4	5
BasalFungi	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Basidiomycota	Obazoa	1	1	14	14	3	4	2	2	2	2	0	0	0	0	1	1	88	91	12	12	17	17	1	1	155	163	59	61	20	22	45	47	16	19	0	0	30	33	5	5	11	11	7	8	0	0	1	0	4	4	9	10	8	9	1	1	1	1	2	2	0	0	0	0	30	31	79	83	42	44	164	159	11	12	21	24	3	3	65	69	0	0	392	413	17	16	36	41	81	82	2	2	62	63	0	0	137	142	3	3	38	40	3	3	19	20	4	4	0	0	5	5	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	2	2	0	0	0	0	0	0
Bicosoecida	Stramenopiles	16	16	69	69	110	107	31	30	17	17	4	4	1	1	0	0	0	0	79	77	2	2	0	0	26	25	1	1	3	3	1	1	0	0	0	0	462	455	131	128	16	16	45	43	4	4	3	3	8	8	2	2	6	6	0	0	0	0	0	0	1	1	0	0	2	2	2	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	8	8	16	17	3	3	5	5	11	11	3	3	2	2	5	5	0	0	4	4	0	0	617	603	239	233	6	6	3	3	6	6	3	3	2	2	1	1	1	1	0	0	0	0	0	0	2	2	3	3	90	89	3	3	11	11	1	1	0	0	0	0
Bolidomonas	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centrohelida	Haptista	2	2	0	0	1	1	0	0	0	0	2	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	3	3	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	0	0	0	1	1	0	0	4	3	2	3
