OTU	Group	Supergroup	MP1153_101bp	MP1153_151bp	MP1161_101bp	MP1161_151bp	MP1163_101bp	MP1163_151bp	MP1165_101bp	MP1165_151bp	MP1173_101bp	MP1173_151bp	MP1175_101bp	MP1175_151bp	MP1177_101bp	MP1177_151bp	MP1516_101bp	MP1516_151bp	MP1518_101bp	MP1518_151bp	MP1522_101bp	MP1522_151bp	MP1524_101bp	MP1524_151bp	MP1526_101bp	MP1526_151bp	MP1528_101bp	MP1528_151bp	MP2808_101bp	MP2808_151bp	MP2810_101bp	MP2810_151bp	MP2812_101bp	MP2812_151bp	MP2814_101bp	MP2814_151bp	MP2818_101bp	MP2818_151bp	MP2820_101bp	MP2820_151bp
BLN11133	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	5	5
BLN1336	Pyramimonadales	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BLN13898	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN17750	Apicomplexa	Alveolata	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN18627	MALV-I	Alveolata	0	0	0	1	1	2	0	3	2	9	3	10	1	0	1	4	0	0	1	1	0	0	2	4	1	7	0	4	0	2	1	5	4	17	7	17	13	33
BLN19691	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0
BLN20767	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN2302	Cercozoa	Rhizaria	0	0	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN23962	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN24201	Cercozoa	Rhizaria	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN2536	InSedAlveolata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BLN2567	InSedEukaryota	Eukaryota	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN2600	Diatomea	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN2859	InSedEukaryota	Eukaryota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLN2866	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
BLN3140	Dinoflagellata	Alveolata	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
